SIMPLE                           ,Beeatriz-Castro,CarlaCristinaSA,ClidenorFilho,Douglas-glith,EduardoAlmeida10,Emilly-Pinheiro,GuibasURL,HenriqueSenaDev,JGCL24,Joao-Vitor-Rd,KeltonMartins,Layssaoliveira26,Lipez-x,Paulo-Sergio-Oliveira,Randson-Silva,TobiasTac,Victorbvc,abebuh21,alvesmaarcos,anaradlei,annabeatryz31,cauanrricardo,davyanastaciodev,dsfacundo,eduardaffreitas,fco-henrique,gabrielrbsousa,harielfr,higormcarnauba,jppiauilino,kawantorres,kaylannesatiro,lizandrapinheiro,mczm9,pamellaneco,rudriguu2099
*:2:diagonal                     ,            ---,            ---,          ---,          ---,             000,            ---,      ---,            ---,   ---,          100,          ---,             ---,    100,                  ---,          000,      ---,      ---,     ---,         ---,      ---,          ---,          ---,             ---,      ---,            ---,         100,           ---,     ---,           ---,        ---,        ---,           ---,             000,  ---,        ---,         100
*:2:sufixos                      ,            ---,            ---,          ---,          ---,             ---,            ---,      ---,            ---,   ---,          100,          ---,             ---,    ---,                  ---,          ---,      ---,      ---,     ---,         ---,      ---,          ---,          ---,             ---,      ---,            ---,         100,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  ---,        ---,         100
*:2:padroes1                     ,            ---,            ---,          ---,          ---,             ---,            ---,      ---,            ---,   ---,          100,          ---,             ---,    100,                  ---,          ---,      ---,      ---,     ---,         ---,      ---,          ---,          ---,             ---,      ---,            ---,         100,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  082,        ---,         100
*:3:padroes2                     ,            ---,            ---,          ---,          000,             ---,            ---,      ---,            ---,   ---,          100,          ---,             ---,    ---,                  ---,          ---,      ---,      ---,     ---,         ---,      ---,          ---,          ---,             ---,      ---,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  082,        ---,         100
*:4:padroes3                     ,            ---,            ---,          ---,          ---,             ---,            ---,      ---,            ---,   ---,          ---,          ---,             ---,    ---,                  ---,          ---,      ---,      ---,     ---,         ---,      ---,          ---,          ---,             ---,      ---,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  082,        ---,         100
*:3:quadrado                     ,            ---,            ---,          ---,          ---,             ---,            ---,      ---,            ---,   ---,          ---,          ---,             ---,    100,                  ---,          ---,      ---,      ---,     ---,         ---,      ---,          ---,          ---,             ---,      ---,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  ---,        ---,         100
*:2:fib1                         ,            ---,            ---,          ---,          ---,             ---,            ---,      ---,            ---,   ---,          ---,          ---,             ---,    ---,                  ---,          ---,      ---,      ---,     ---,         ---,      ---,          ---,          ---,             ---,      ---,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  ---,        ---,         082
*:2:fib2                         ,            ---,            ---,          ---,          ---,             ---,            ---,      ---,            ---,   ---,          ---,          ---,             ---,    ---,                  ---,          ---,      ---,      ---,     ---,         ---,      ---,          ---,          ---,             ---,      ---,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  ---,        ---,         012
*:3:santo                        ,            ---,            ---,          ---,          ---,             ---,            ---,      ---,            ---,   ---,          ---,          ---,             ---,    ---,                  ---,          ---,      ---,      ---,     ---,         ---,      ---,          ---,          ---,             ---,      ---,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  000,        ---,         045
*:4:bitcoin                      ,            ---,            ---,          ---,          ---,             ---,            ---,      ---,            ---,   ---,          ---,          ---,             ---,    ---,                  ---,          ---,      ---,      ---,     ---,         ---,      ---,          ---,          ---,             ---,      ---,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  082,        ---,         100
=:1:pilha-e-fila=================,            000,            000,          000,          000,             000,            000,      000,            000,   000,          000,          000,             000,    000,                  000,          000,      000,      000,     000,         000,      000,          000,          000,             000,      000,            000,         000,           000,     000,           000,        000,        000,           000,             000,  000,        000,         000
*:2:balanceada                   ,            ---,            ---,          ---,          ---,             ---,            ---,      ---,            000,   ---,          ---,          ---,             ---,    ---,                  ---,          ---,      ---,      ---,     ---,         ---,      ---,          ---,          ---,             ---,      ---,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  ---,        ---,         ---
*:2:caminhao                     ,            ---,            ---,          ---,          ---,             ---,            ---,      ---,            ---,   ---,          ---,          ---,             ---,    000,                  ---,          ---,      ---,      ---,     ---,         ---,      ---,          ---,          ---,             ---,      ---,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  ---,        ---,         082
*:3:polonesa                     ,            ---,            ---,          ---,          ---,             ---,            ---,      ---,            000,   ---,          ---,          ---,             ---,    ---,                  ---,          ---,      ---,      ---,     ---,         ---,      ---,          ---,          ---,             ---,      ---,            ---,         ---,           ---,     ---,           ---,        ---,        ---,           ---,             ---,  ---,        ---,         ---
